bbox_enlarge_factor	learning_rate	std	mean_average_iou
2.0	0.1	1.0	0.3314570756899664
2.0	0.1	2.0	0.3630696196510314
2.0	0.1	3.0	0.35665033496611653
2.0	0.1	5.0	0.332294267676251
2.0	0.1	10.0	0.2912836376150637
2.0	0.2	1.0	0.29114054208753576
2.0	0.2	2.0	0.3544987377123506
2.0	0.2	3.0	0.35012020339392647
2.0	0.2	5.0	0.3379705596240546
2.0	0.2	10.0	0.25342286032527084
2.0	0.5	1.0	0.2782135126244067
2.0	0.5	2.0	0.3134944399398807
2.0	0.5	3.0	0.3186480879693239
2.0	0.5	5.0	0.28957460104721644
2.0	0.5	10.0	0.24578347768398928
2.0	1.0	1.0	0.250031725461584
2.0	1.0	2.0	0.2593141570570101
2.0	1.0	3.0	0.2629382198795878
2.0	1.0	5.0	0.23164200649428943
2.0	1.0	10.0	0.22321825668360798
2.5	0.0	1.0	0.1688161469643631
2.5	0.0	2.0	0.18632919320847982
2.5	0.0	3.0	0.18873291599859313
2.5	0.0	5.0	0.2127160256988671
2.5	0.0	10.0	0.214417185070074
2.5	0.01	1.0	0.3018368712744862
2.5	0.01	2.0	0.31435304139054165
2.5	0.01	3.0	0.34845165806223816
2.5	0.01	5.0	0.3172479742915514
2.5	0.01	10.0	0.2929179551004258
2.5	0.05	1.0	0.35523190806322236
2.5	0.05	2.0	0.358033814877726
2.5	0.05	3.0	0.38567560665236883
2.5	0.05	5.0	0.3989748340164496
2.5	0.05	10.0	0.3433042810382269
2.5	0.1	1.0	0.3279150804273468
2.5	0.1	2.0	0.3378064882435888
2.5	0.1	3.0	0.3730598202155542
2.5	0.1	5.0	0.38057020335270725
2.5	0.1	10.0	0.31857633512685724
2.5	0.2	1.0	0.30481353036333325
2.5	0.2	2.0	0.36093852857993697
2.5	0.2	3.0	0.36771372485182824
2.5	0.2	5.0	0.3560439901012353
2.5	0.2	10.0	0.30757418988694407
2.5	0.5	1.0	0.27362631057228326
2.5	0.5	2.0	0.32876884316309385
2.5	0.5	3.0	0.2871483508405891
2.5	0.5	5.0	0.3083644306460777
2.5	0.5	10.0	0.2517758045340756
2.5	1.0	1.0	0.24153456500656328
2.5	1.0	2.0	0.26816875216827396
2.5	1.0	3.0	0.2542237859267275
2.5	1.0	5.0	0.25410324975338155
2.5	1.0	10.0	0.20518424507587396
3.0	0.0	1.0	0.19614171875889738
3.0	0.0	2.0	0.20049420117196518
3.0	0.0	3.0	0.22945958562663024
3.0	0.0	5.0	0.20681465918902872
3.0	0.0	10.0	0.1787306614953065
3.0	0.01	1.0	0.34244207929593506
3.0	0.01	2.0	0.3569862990401388
3.0	0.01	3.0	0.34592856907197517
3.0	0.01	5.0	0.35855018667886895
3.0	0.01	10.0	0.2870203177765522
3.0	0.05	1.0	0.334179145804984
3.0	0.05	2.0	0.3737720508998269
3.0	0.05	3.0	0.39500549148703284
3.0	0.05	5.0	0.4049297216350101
3.0	0.05	10.0	0.29394184608386104
3.0	0.1	1.0	0.325120527188987
3.0	0.1	2.0	0.3722661552094272
3.0	0.1	3.0	0.3911121992022635
3.0	0.1	5.0	0.3749331044364021
3.0	0.1	10.0	0.31713521992943416
3.0	0.2	1.0	0.34253305022195707
3.0	0.2	2.0	0.33395625117943323
3.0	0.2	3.0	0.3979539367347621
3.0	0.2	5.0	0.3503043644314193
3.0	0.2	10.0	0.28317728062329933
3.0	0.5	1.0	0.2790382232414165
3.0	0.5	2.0	0.32162108410522205
3.0	0.5	3.0	0.31841859454706534
3.0	0.5	5.0	0.3162217455444376
3.0	0.5	10.0	0.2557492537566522
3.0	1.0	1.0	0.25053740722588314
3.0	1.0	2.0	0.22787985481617834
3.0	1.0	3.0	0.22049875711232
3.0	1.0	5.0	0.22625745540506748
3.0	1.0	10.0	0.20581926211219514
